,Loss,Round,Method
0,1.1033873016184026,1,hrank
1,1.104288065072262,2,hrank
2,1.0238487648241448,3,hrank
3,0.9169467741792853,4,hrank
4,0.8013967474301656,5,hrank
5,0.6578150247082566,6,hrank
6,0.5524425885894082,7,hrank
7,0.5098070484219175,8,hrank
8,0.49340959841554816,9,hrank
9,0.49220033396374097,10,hrank
10,0.48788456122080487,11,hrank
11,0.4772751746755658,12,hrank
12,0.4506384865804152,13,hrank
13,0.42425021529197693,14,hrank
14,0.39272289565115265,15,hrank
15,0.37960810552943836,16,hrank
16,0.3704680935903029,17,hrank
17,0.36543440276926215,18,hrank
18,0.37013715595910046,19,hrank
19,0.36389922644152783,20,hrank
20,0.34728297771829547,21,hrank
21,0.33280140613064624,22,hrank
22,0.3159003998294021,23,hrank
23,0.3030298009063258,24,hrank
24,0.29755248084212793,25,hrank
25,0.2978867870388609,26,hrank
26,0.2986342392184518,27,hrank
27,0.2902178091533256,28,hrank
28,0.2780793223417167,29,hrank
29,0.2772414539799546,30,hrank
30,0.2621835172176361,31,hrank
31,0.25307942565643426,32,hrank
32,0.25415473273306183,33,hrank
33,0.2506963624195619,34,hrank
34,0.2492927714730754,35,hrank
35,0.24955261566422202,36,hrank
36,0.2403397045352242,37,hrank
37,0.23391227966005151,38,hrank
38,0.23389549508239282,39,hrank
39,0.2294930639592084,40,hrank
40,0.2274752507607142,41,hrank
41,0.2215580041661407,42,hrank
42,0.21978963595448117,43,hrank
43,0.22454439600308737,44,hrank
44,0.21796490568103213,45,hrank
45,0.21890195978410315,46,hrank
46,0.2122120608886083,47,hrank
47,0.2148976240194205,48,hrank
48,0.20514110272580927,49,hrank
49,0.20767105573957617,50,hrank
50,1.1007274931127375,1,random
51,1.0804309411482378,2,random
52,1.0002152648839084,3,random
53,0.899518735481031,4,random
54,0.7816343199123036,5,random
55,0.6402889742995753,6,random
56,0.5264962469086503,7,random
57,0.4954726885665547,8,random
58,0.4735408127307892,9,random
59,0.46925325736855017,10,random
60,0.46945026787844574,11,random
61,0.45546660007852496,12,random
62,0.43408144784696173,13,random
63,0.4033757944901784,14,random
64,0.38449049628142157,15,random
65,0.3643046500104846,16,random
66,0.3521447272011728,17,random
67,0.35343380678783765,18,random
68,0.35147890267950116,19,random
69,0.3533296061284614,20,random
70,0.32915425210288074,21,random
71,0.3128547469774882,22,random
72,0.3069984000740629,23,random
73,0.29274536353169067,24,random
74,0.2867659790949388,25,random
75,0.2869180477026737,26,random
76,0.29010786161278235,27,random
77,0.2875744032137322,28,random
78,0.27649824050339783,29,random
79,0.2676187085382866,30,random
80,0.25752474683703797,31,random
81,0.25559575359026593,32,random
82,0.2508792326305852,33,random
83,0.25418442036166333,34,random
84,0.25355364201646863,35,random
85,0.244639563741106,36,random
86,0.24796926659165006,37,random
87,0.2431175997762969,38,random
88,0.2390096580440348,39,random
89,0.22674749611002026,40,random
90,0.22931238602508197,41,random
91,0.22729805969830716,42,random
92,0.22929361507748114,43,random
93,0.23047923906282944,44,random
94,0.22358392585407605,45,random
95,0.22423483747424502,46,random
96,0.20884326326124597,47,random
97,0.21551951269308725,48,random
98,0.21261395965561722,49,random
99,0.2023263257561308,50,random
